LR,DO,EL,DM,PL,mse,mae
0.001,0.0,2,256,16,0.1631806194782257,0.26068833470344543
0.001,0.0,2,256,24,0.11642131209373474,0.20923534035682678
0.001,0.0,2,256,48,0.1405969113111496,0.24108478426933289
0.001,0.0,2,512,16,0.1685466766357422,0.27037519216537476
0.001,0.0,2,512,24,0.13543544709682465,0.23163580894470215
0.001,0.0,2,512,48,0.15438935160636902,0.2481307089328766
0.001,0.0,3,256,16,0.1592792421579361,0.2639329433441162
0.001,0.0,3,256,24,0.1549413502216339,0.2512667179107666
0.001,0.0,3,256,48,0.15459345281124115,0.2520411014556885
0.001,0.0,3,512,16,0.1600600779056549,0.25847792625427246
0.001,0.0,3,512,24,0.15406329929828644,0.2528390884399414
0.001,0.0,3,512,48,0.175662562251091,0.26966238021850586
0.001,0.0,4,256,16,0.16255781054496765,0.2579495906829834
0.001,0.0,4,256,24,0.15728867053985596,0.2547375559806824
0.001,0.0,4,256,48,0.15411075949668884,0.2524541914463043
0.001,0.0,4,512,16,0.16930536925792694,0.26500973105430603
0.001,0.0,4,512,24,0.1584259569644928,0.2586020827293396
0.001,0.0,4,512,48,0.16442342102527618,0.2625240385532379
0.001,0.1,2,256,16,0.1310017704963684,0.22413523495197296
0.001,0.1,2,256,24,0.11014990508556366,0.20213402807712555
0.001,0.1,2,256,48,0.14987124502658844,0.24645471572875977
0.001,0.1,2,512,16,0.16357727348804474,0.25873905420303345
0.001,0.1,2,512,24,0.16781757771968842,0.2611628472805023
0.001,0.1,2,512,48,0.16782337427139282,0.265283465385437
0.001,0.1,3,256,16,0.13750919699668884,0.2309766709804535
0.001,0.1,3,256,24,0.1406233012676239,0.23075206577777863
0.001,0.1,3,256,48,0.15372373163700104,0.25145941972732544
0.001,0.1,3,512,16,0.15627369284629822,0.25418999791145325
0.001,0.1,3,512,24,0.16471463441848755,0.2595165967941284
0.001,0.1,3,512,48,0.16231337189674377,0.25703009963035583
0.001,0.1,4,256,16,0.16143308579921722,0.261800080537796
0.001,0.1,4,256,24,0.14925047755241394,0.24429486691951752
0.001,0.1,4,256,48,0.14335070550441742,0.24025031924247742
0.001,0.1,4,512,16,0.1566171944141388,0.2542649507522583
0.001,0.1,4,512,24,0.15090881288051605,0.2482869029045105
0.001,0.1,4,512,48,0.15482033789157867,0.25201061367988586
0.001,0.2,2,256,16,0.13682235777378082,0.23013094067573547
0.001,0.2,2,256,24,0.11220263689756393,0.20432178676128387
0.001,0.2,2,256,48,0.1364724338054657,0.23290593922138214
0.001,0.2,2,512,16,0.16728396713733673,0.26014572381973267
0.001,0.2,2,512,24,0.17613042891025543,0.26716727018356323
0.001,0.2,2,512,48,0.17203237116336823,0.27029332518577576
0.001,0.2,3,256,16,0.14764295518398285,0.2447245717048645
0.001,0.2,3,256,24,0.149746373295784,0.24280180037021637
0.001,0.2,3,256,48,0.15562692284584045,0.2503296732902527
0.001,0.2,3,512,16,0.15853843092918396,0.2533927857875824
0.001,0.2,3,512,24,0.15988914668560028,0.255709171295166
0.001,0.2,3,512,48,0.16577757894992828,0.26132142543792725
0.001,0.2,4,256,16,0.15269137918949127,0.24526135623455048
0.001,0.2,4,256,24,0.15614116191864014,0.2531272768974304
0.001,0.2,4,256,48,0.15581247210502625,0.2524816393852234
0.001,0.2,4,512,16,0.15584561228752136,0.2539593577384949
0.001,0.2,4,512,24,0.16409872472286224,0.2606174945831299
0.001,0.2,4,512,48,0.16082032024860382,0.2550908029079437
0.0005,0.0,2,256,16,0.135650172829628,0.23488344252109528
0.0005,0.0,2,256,24,0.12067621946334839,0.216682568192482
0.0005,0.0,2,256,48,0.143092542886734,0.2408505529165268
0.0005,0.0,2,512,16,0.13855166733264923,0.23596133291721344
0.0005,0.0,2,512,24,0.12465690076351166,0.21787424385547638
0.0005,0.0,2,512,48,0.1428108662366867,0.2442036122083664
0.0005,0.0,3,256,16,0.1425885260105133,0.24156534671783447
0.0005,0.0,3,256,24,0.11669544130563736,0.2160900980234146
0.0005,0.0,3,256,48,0.13781242072582245,0.24142491817474365
0.0005,0.0,3,512,16,0.14789031445980072,0.24401988089084625
0.0005,0.0,3,512,24,0.1320623755455017,0.23152689635753632
0.0005,0.0,3,512,48,0.13961860537528992,0.2440221607685089
0.0005,0.0,4,256,16,0.14360164105892181,0.24396653473377228
0.0005,0.0,4,256,24,0.12082037329673767,0.21284867823123932
0.0005,0.0,4,256,48,0.13710694015026093,0.2393602728843689
0.0005,0.0,4,512,16,0.14455336332321167,0.23860737681388855
0.0005,0.0,4,512,24,0.13044115900993347,0.23281407356262207
0.0005,0.0,4,512,48,0.17591072618961334,0.27432191371917725
0.0005,0.1,2,256,16,0.13512693345546722,0.23280654847621918
0.0005,0.1,2,256,24,0.11217200011014938,0.20515543222427368
0.0005,0.1,2,256,48,0.13295453786849976,0.23362568020820618
0.0005,0.1,2,512,16,0.12871778011322021,0.22809365391731262
0.0005,0.1,2,512,24,0.11457356065511703,0.2082524299621582
0.0005,0.1,2,512,48,0.13402952253818512,0.23121598362922668
0.0005,0.1,3,256,16,0.1326751559972763,0.23089633882045746
0.0005,0.1,3,256,24,0.11667660623788834,0.2073177695274353
0.0005,0.1,3,256,48,0.1380898505449295,0.2346818745136261
0.0005,0.1,3,512,16,0.16583923995494843,0.2654508650302887
0.0005,0.1,3,512,24,0.13178963959217072,0.22601796686649323
0.0005,0.1,3,512,48,0.15516559779644012,0.24410508573055267
0.0005,0.1,4,256,16,0.13711073994636536,0.23102308809757233
0.0005,0.1,4,256,24,0.11655744165182114,0.20830540359020233
0.0005,0.1,4,256,48,0.1356518715620041,0.23420971632003784
0.0005,0.1,4,512,16,0.14646118879318237,0.24671439826488495
0.0005,0.1,4,512,24,0.13016191124916077,0.22739572823047638
0.0005,0.1,4,512,48,0.1550510972738266,0.25246042013168335
0.0005,0.2,2,256,16,0.1277076005935669,0.22084355354309082
0.0005,0.2,2,256,24,0.1044272854924202,0.19677524268627167
0.0005,0.2,2,256,48,0.12679612636566162,0.22187824547290802
0.0005,0.2,2,512,16,0.12011267244815826,0.2147633582353592
0.0005,0.2,2,512,24,0.11135132610797882,0.20238979160785675
0.0005,0.2,2,512,48,0.13330425322055817,0.2314433604478836
0.0005,0.2,3,256,16,0.12436190247535706,0.21817733347415924
0.0005,0.2,3,256,24,0.10903660207986832,0.19916637241840363
0.0005,0.2,3,256,48,0.12369126081466675,0.22086134552955627
0.0005,0.2,3,512,16,0.1281076818704605,0.2205001711845398
0.0005,0.2,3,512,24,0.11083490401506424,0.20302008092403412
0.0005,0.2,3,512,48,0.1390725076198578,0.2316804677248001
0.0005,0.2,4,256,16,0.12851981818675995,0.22300393879413605
0.0005,0.2,4,256,24,0.1123042106628418,0.20286034047603607
0.0005,0.2,4,256,48,0.12781256437301636,0.22418509423732758
0.0005,0.2,4,512,16,0.14701522886753082,0.238888680934906
0.0005,0.2,4,512,24,0.13791650533676147,0.23043178021907806
0.0005,0.2,4,512,48,0.15540441870689392,0.24983768165111542
0.0001,0.0,2,256,16,0.13309873640537262,0.23310883343219757
0.0001,0.0,2,256,24,0.11129950731992722,0.20474335551261902
0.0001,0.0,2,256,48,0.13732154667377472,0.2374982088804245
0.0001,0.0,2,512,16,0.1421547830104828,0.2445380836725235
0.0001,0.0,2,512,24,0.11877221614122391,0.21709507703781128
0.0001,0.0,2,512,48,0.1334594041109085,0.23299375176429749
0.0001,0.0,3,256,16,0.14278028905391693,0.2392059564590454
0.0001,0.0,3,256,24,0.1139611005783081,0.2082395851612091
0.0001,0.0,3,256,48,0.13790731132030487,0.24107909202575684
0.0001,0.0,3,512,16,0.12866666913032532,0.23136582970619202
0.0001,0.0,3,512,24,0.11205563694238663,0.20530520379543304
0.0001,0.0,3,512,48,0.14058546721935272,0.2441914826631546
0.0001,0.0,4,256,16,0.13452480733394623,0.23368285596370697
0.0001,0.0,4,256,24,0.11395978182554245,0.20874567329883575
0.0001,0.0,4,256,48,0.13822001218795776,0.23914697766304016
0.0001,0.0,4,512,16,0.13873861730098724,0.24120382964611053
0.0001,0.0,4,512,24,0.12209206074476242,0.2197163850069046
0.0001,0.0,4,512,48,0.14190757274627686,0.24510309100151062
0.0001,0.1,2,256,16,0.1191156804561615,0.21371115744113922
0.0001,0.1,2,256,24,0.10847773402929306,0.19956164062023163
0.0001,0.1,2,256,48,0.1240406259894371,0.2200387865304947
0.0001,0.1,2,512,16,0.11919538676738739,0.2178240269422531
0.0001,0.1,2,512,24,0.10842026770114899,0.19971726834774017
0.0001,0.1,2,512,48,0.1240076944231987,0.22189994156360626
0.0001,0.1,3,256,16,0.12174582481384277,0.21724450588226318
0.0001,0.1,3,256,24,0.10982311517000198,0.20000316202640533
0.0001,0.1,3,256,48,0.12225611507892609,0.21893946826457977
0.0001,0.1,3,512,16,0.1184559091925621,0.21707218885421753
0.0001,0.1,3,512,24,0.11049826443195343,0.2042028158903122
0.0001,0.1,3,512,48,0.13045193254947662,0.23218737542629242
0.0001,0.1,4,256,16,0.1208055168390274,0.21598626673221588
0.0001,0.1,4,256,24,0.10906100273132324,0.20073860883712769
0.0001,0.1,4,256,48,0.1264682114124298,0.22387194633483887
0.0001,0.1,4,512,16,0.12748165428638458,0.22400608658790588
0.0001,0.1,4,512,24,0.1090446412563324,0.20337125658988953
0.0001,0.1,4,512,48,0.12653130292892456,0.22853916883468628
0.0001,0.2,2,256,16,0.1153513640165329,0.206453338265419
0.0001,0.2,2,256,24,0.1073606014251709,0.19618366658687592
0.0001,0.2,2,256,48,0.12285853922367096,0.21647882461547852
0.0001,0.2,2,512,16,0.11679396778345108,0.21177786588668823
0.0001,0.2,2,512,24,0.10887391120195389,0.198089137673378
0.0001,0.2,2,512,48,0.11894439905881882,0.2141129970550537
0.0001,0.2,3,256,16,0.11934473365545273,0.2106429487466812
0.0001,0.2,3,256,24,0.1078135147690773,0.1963559091091156
0.0001,0.2,3,256,48,0.12025460600852966,0.21314102411270142
0.0001,0.2,3,512,16,0.12027682363986969,0.21584366261959076
0.0001,0.2,3,512,24,0.1079949215054512,0.19775967299938202
0.0001,0.2,3,512,48,0.1211564838886261,0.2156672477722168
0.0001,0.2,4,256,16,0.11763672530651093,0.2096700668334961
0.0001,0.2,4,256,24,0.10645223408937454,0.19559837877750397
0.0001,0.2,4,256,48,0.12221644818782806,0.21517717838287354
0.0001,0.2,4,512,16,0.11892738938331604,0.21354109048843384
0.0001,0.2,4,512,24,0.10591603815555573,0.1953425258398056
0.0001,0.2,4,512,48,0.12048591673374176,0.21578265726566315
